代数,分子数量,均值,top1,top10均值,top20均值,top50均值,top100均值
6,120,-11.4250,-14.0000,-12.6500,-12.3250,-11.9240,-11.5420
7,120,-11.5675,-13.3000,-12.6900,-12.4100,-12.0400,-11.6740
8,120,-11.8933,-13.1000,-12.9100,-12.8300,-12.3900,-11.9950
9,120,-12.0942,-13.5000,-13.0500,-12.9200,-12.5720,-12.2040
10,120,-12.2808,-13.7000,-13.3600,-13.1400,-12.8620,-12.4260
11,120,-12.4842,-13.5000,-13.1700,-13.0100,-12.8640,-12.5870
12,120,-12.7925,-14.0000,-13.3600,-13.1800,-12.9600,-12.8450
13,120,-12.9208,-13.6000,-13.4000,-13.3000,-13.0900,-12.9450
14,120,-13.0000,-13.6000,-13.5100,-13.4250,-13.2300,-13.0400
15,120,-13.0808,-13.7000,-13.5400,-13.4950,-13.3220,-13.1370
16,120,-13.1550,-13.6000,-13.5300,-13.5150,-13.3520,-13.2060
